symbol,name,sector,industry,market_cap,revenue,employees,country,website,esg_score,beta,pe_ratio,debt_to_equity,profit_margin,volatility,ytd_return,avg_volume,forward_pe,price_to_book
AAPL,Apple Inc.,Technology,Consumer Electronics,3194468958208,400366010368,164000,United States,https://www.apple.com,50,1.199,33.314644,146.994,0.24301,0.07134779353138548,-1.4129887777483585,53080594.0,25.737665,47.837173
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3818170351616,270010007552,228000,United States,https://www.microsoft.com,50,1.033,39.668728,32.626,0.35789,0.08069681878974591,21.722347444204914,21528903.2,34.361874,11.863973
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2341206228992,371399000064,187103,United States,https://abc.xyz,50,1.005,20.572948,11.481,0.31118,0.07707646264523962,16.236994400624848,32502393.6,21.560266,6.442984
NVDA,NVIDIA Corporation,Technology,Semiconductors,4231248740352,148514996224,36000,United States,https://www.nvidia.com,50,2.131,55.787785,12.267,0.51694,0.13123294630174862,53.506823127892474,261065709.2,42.111652,50.46539
ORCL,Oracle Corporation,Technology,Software - Infrastructure,688500375552,57399001088,162000,United States,https://www.oracle.com,50,1.394,56.47926,519.586,0.21677999,0.16469437513730076,78.17775623046559,10384354.0,34.23464,33.6426
CRM,"Salesforce, Inc.",Technology,Software - Application,257269153792,38591000576,76453,United States,https://www.salesforce.com,50,1.366,42.18025,19.813,0.16079001,0.11431050103089853,3.0385531829768775,6560702.4,24.178795,4.249597
ADBE,Adobe Inc.,Technology,Software - Application,157267902464,22601000960,30709,United States,https://www.adobe.com,50,1.509,23.75016,57.486,0.30392,0.14548492581612169,-31.653272515715337,3476691.2,18.040876,13.828423
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1791912706048,170359996416,76834,United States,https://investor.atmeta.com,50,1.284,27.849941,26.763,0.39113998,0.11400721124985902,53.558144195838175,14245810.8,28.16917,9.717878
NFLX,"Netflix, Inc.",Communication Services,Entertainment,501620899840,41693184000,14000,United States,https://www.netflix.com,50,1.596,50.255,67.866,0.24579,0.21257405258367496,86.97277339181542,3767477.6,49.642136,20.10337
DIS,The Walt Disney Company,Communication Services,Entertainment,218372702208,94039998464,177080,United States,https://thewaltdisneycompany.com,50,1.561,24.789795,39.432,0.09475,0.11348885384260556,36.248782034857975,9870394.8,23.586407,2.0966964
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2457059721216,650313007104,1560000,United States,https://www.aboutamazon.com,50,1.337,37.755302,51.641,0.1014,0.0976984087230515,26.816439693921225,41852331.6,37.63252,8.030535
